N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
134,솔루스첨단소재,"72,200","2,100",+3.00%,100,"22,086","30,590",7.38,"81,550",-284.25,-5.10,
135,DL이앤씨,"113,500","3,000",-2.58%,"5,000","21,972","19,359",23.40,"149,393",N/A,N/A,
136,녹십자,"187,500","3,500",+1.90%,"5,000","21,912","11,687",23.09,"10,019",25.40,7.48,
137,KODEX 레버리지,"20,365",240,+1.19%,0,"21,750","106,800",0.61,"9,883,815",N/A,N/A,
138,OCI,"91,000",200,+0.22%,"5,000","21,703","23,849",15.67,"112,336",10.85,-9.89,
139,영원무역,"48,250",550,+1.15%,500,"21,380","44,311",28.11,"60,707",9.28,8.03,
140,현대로템,"19,250",100,+0.52%,"5,000","21,010","109,142",3.37,"184,624",67.07,2.84,
141,농심,"344,000","2,500",+0.73%,"5,000","20,924","6,083",12.78,"17,869",19.60,7.50,
142,TIGER 200,"36,925",205,+0.56%,0,"20,641","55,900",0.00,"266,485",N/A,N/A,
143,씨에스윈드,"48,650",350,-0.71%,500,"20,516","42,171",11.53,"83,838",44.15,8.19,
144,KODEX MSCI Korea TR,"11,885",75,+0.64%,0,"20,514","172,600",3.29,"129,326",N/A,N/A,
145,후성,"21,600",700,+3.35%,500,"20,003","92,607",6.72,"937,355",72.73,2.79,
146,효성첨단소재,"440,000","8,000",+1.85%,"5,000","19,712","4,480",10.37,"23,214",9.18,0.03,
147,휠라홀딩스,"32,000",0,0.00%,"1,000","19,441","60,752",43.76,"109,126",8.27,10.94,
148,롯데정밀화학,"74,800",500,+0.67%,"5,000","19,298","25,800",21.68,"61,975",4.53,12.65,
149,효성티앤씨,"433,500","10,500",+2.48%,"5,000","18,760","4,328",16.91,"25,762",2.66,25.10,
150,TIGER 미국나스닥100,"78,195",825,-1.04%,0,"18,712","23,930",0.01,"95,824",N/A,N/A,
151,한미반도체,"37,250",850,-2.23%,200,"18,424","49,460",6.04,"283,549",22.15,21.03,
152,현대위아,"67,600",200,+0.30%,"5,000","18,384","27,195",6.35,"52,855",50.37,1.96,
153,KODEX 200선물인버스2X,"2,490",25,-0.99%,0,"17,980","722,100",5.34,"80,231,091",N/A,N/A,
154,동원시스템즈,"60,900",900,-1.46%,"5,000","17,776","29,188",13.26,"71,940",27.58,10.97,
155,한샘,"75,100",0,0.00%,"1,000","17,674","23,534",16.20,"16,425",22.09,10.83,
156,현대백화점,"75,200",300,+0.40%,"5,000","17,599","23,402",18.29,"43,535",11.37,1.65,
157,코오롱인더,"63,400","1,100",+1.77%,"5,000","17,447","27,519",19.83,"99,489",9.84,9.70,
158,효성,"81,800",600,+0.74%,"5,000","17,236","21,071",8.13,"19,017",4.45,-2.26,
159,더존비즈온,"55,800","1,300",+2.39%,500,"16,954","30,383",39.14,"65,526",27.31,15.09,
160,TIGER MSCI Korea TR,"14,960",85,+0.57%,0,"16,815","112,400",14.24,"1,059",N/A,N/A,
161,오뚜기,"457,000","2,500",+0.55%,"5,000","16,781","3,672",11.68,"1,534",15.17,7.93,
162,JB금융지주,"8,420",30,-0.36%,"5,000","16,586","196,983",42.24,"56,833",3.47,10.06,
163,대웅제약,"143,000","1,000",+0.70%,"2,500","16,569","11,587",6.10,"22,027",143.57,2.38,
164,LS,"50,700",0,0.00%,"5,000","16,325","32,200",13.58,"32,313",6.37,3.94,
165,DGB금융지주,"9,610",20,-0.21%,"5,000","16,255","169,146",49.50,"93,781",3.43,6.93,
166,KODEX 단기채권,"103,190",5,0.00%,0,"16,134","15,635",0.00,"16,589",N/A,N/A,
167,한전KPS,"35,450",600,+1.72%,200,"15,952","45,000",7.26,"149,386",13.20,8.23,
168,두산,"96,300",100,+0.10%,"5,000","15,912","16,524",10.67,"12,493",-55.47,-34.34,
169,대웅,"27,350",350,+1.30%,500,"15,902","58,142",4.25,"31,148",15.06,15.10,
170,일진하이솔루스,"43,300","1,400",+3.34%,500,"15,724","36,313",1.92,"150,379",80.78,34.27,
171,KODEX 삼성그룹,"9,165",110,+1.21%,0,"15,562","169,800",0.30,"65,417",N/A,N/A,
172,아시아나항공,"20,600",350,+1.73%,"5,000","15,329","74,412",7.07,"790,134",-3.54,-43.83,
173,현대엘리베이,"37,550",100,+0.27%,"5,000","15,326","40,815",29.20,"48,217",24.19,9.78,
174,아이에스동서,"48,500",600,-1.22%,500,"14,983","30,893",4.24,"30,334",27.78,10.92,
175,롯데칠성,"159,500",500,-0.31%,500,"14,800","9,279",8.93,"52,451",18.85,-1.00,
176,LS ELECTRIC,"49,200",100,+0.20%,"5,000","14,760","30,000",17.61,"19,419",18.22,6.15,
177,동국제강,"15,250",0,0.00%,"5,000","14,553","95,433",22.31,"285,614",3.22,3.35,
178,NHN,"38,500",200,+0.52%,500,"14,444","37,518",19.40,"71,541",44.46,1.35,
179,케이카,"29,750",600,+2.06%,500,"14,306","48,087",18.37,"52,813",49.42,15.11,
180,LIG넥스원,"64,700",900,+1.41%,"5,000","14,234","22,000",6.65,"142,643",15.08,8.86,
181,KODEX 종합채권(AA-이상)액티브,"106,155",220,-0.21%,0,"14,143","13,323",0.00,"1,300",N/A,N/A,
182,한일시멘트,"19,900",200,+1.02%,500,"13,783","69,262",2.57,"62,595",13.11,N/A,
183,TIGER 단기통안채,"100,580",5,0.00%,0,"13,518","13,440",0.88,"17,399",N/A,N/A,
184,대한전선,"1,560",0,0.00%,100,"13,361","856,473",1.59,"6,802,536",43.33,0.92,
185,TIGER 미국S&P500,"13,505",70,-0.52%,0,"13,329","98,700",0.00,"413,704",N/A,N/A,
186,ESR켄달스퀘어리츠,"6,170",0,0.00%,"1,000","13,148","213,089",32.02,"70,118",162.37,1.14,
187,롯데리츠,"5,380",60,+1.13%,500,"13,072","242,969",9.60,"51,364",33.62,1.68,
188,한국앤컴퍼니,"13,700",0,0.00%,500,"13,006","94,935",9.69,"36,751",5.26,5.08,
189,티와이홀딩스,"25,200",100,-0.40%,500,"12,834","50,929",5.06,"6,934",2.17,N/A,
190,신풍제약,"24,200","1,250",-4.91%,500,"12,822","52,985",10.36,"389,072","4,033.33",1.72,
191,PI첨단소재,"43,600","1,600",+3.81%,500,"12,804","29,366",12.81,"85,577",21.89,15.62,
192,명신산업,"24,400",0,0.00%,500,"12,803","52,470",2.62,"95,654",-10.58,-67.39,
193,에스엘,"26,550",100,+0.38%,500,"12,798","48,203",14.82,"43,176",8.80,4.74,
194,현대두산인프라코어,"6,450",130,+2.06%,"1,000","12,735","197,435",9.92,"2,222,853",5.52,6.47,
195,DL,"60,300","1,700",+2.90%,"5,000","12,636","20,956",11.74,"51,470",1.92,11.84,
196,롯데렌탈,"34,450",400,+1.17%,"5,000","12,620","36,634",1.66,"52,211",11.95,6.73,
197,TIGER 2차전지테마,"19,495",270,+1.40%,0,"12,584","64,550",0.28,"928,143",N/A,N/A,
198,코리안리,"10,450",150,-1.42%,500,"12,579","120,369",31.88,"197,933",8.01,5.78,
199,TIGER 미국테크TOP10 INDXX,"11,850",175,-1.46%,0,"12,531","105,750",0.57,"590,605",N/A,N/A,
200,진원생명과학,"16,000",550,+3.56%,"1,000","12,418","77,614",12.61,"1,170,869",-48.34,-30.43,
